SL,Category,Job Title,Skills,Experience,Salary,Job Link
314,Teaching,Teaching - Flutter Developer,"Security, Hadoop, MongoDB",5 year(s),"BDT 10,000/month",https://www.linkedin.com/jobs/view/4000000314
315,Backend Developer,Contract Backend Developer,"Jenkins, REST API, AWS, C#",5 year(s),"$60,611-$74,756 per year",https://www.linkedin.com/jobs/view/4000000315
316,Frontend Developer,Lead Frontend Developer,"C#, Node.js, Kubernetes, Power BI, Flask",3 year(s),"BDT 10,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4283320265
317,NLP Engineer,Junior NLP Engineer,"Bash, Hadoop, Swift",7 year(s),"$70,105 per year",https://www.simplilearn.com/how-to-become-nlp-engineer-article
318,Full Stack Developer,Full Stack Developer - Europe Based,"Angular, Hadoop, Tableau",5 year(s),"BDT 40,000/month",https://www.linkedin.com/jobs/view/4000000318
319,Backend Developer,Backend Developer (Remote),"Java, Spring, MySQL, Node.js, Python",10 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/4000000319
320,Database Administrator,Database Administrator - AI,"CI/CD, PyTorch, JavaScript, Express.js, Django",3 year(s),"Tk. 70,000 - 70,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000320
321,Computer Vision Engineer,Security Computer Vision Engineer,"Android, NLP, TypeScript, Linux",6 year(s),"Tk. 15,000 - 45,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000001
322,Security Engineer,Intern Security Engineer,"Kubernetes, Azure, C#, Kotlin, TypeScript",2 year(s),"৳10,000 - ৳10,000 per month",https://www.linkedin.com/jobs/view/5000000002
323,Product Engineer,Intern Product Engineer,"Spark, Angular, Azure, Bash",3 year(s),"৳15,000 - ৳35,000 per month",https://www.linkedin.com/jobs/view/5000000003
324,Frontend Developer,Frontend Developer - Python Developer,"Redis, C++, Bash",6 year(s),"$68,531 per year",https://www.linkedin.com/jobs/view/5000000004
325,NLP Engineer,Security NLP Engineer,"Bash, PyTorch, C#",2 year(s),"BDT 15,000/month",https://www.linkedin.com/jobs/view/5000000005
326,Web Developer,Junior Web Developer,"PyTorch, CI/CD, PostgreSQL, AWS",2 year(s),"BDT 50,000/month",https://www.linkedin.com/jobs/view/5000000006
327,Web Developer,Web Developer - Backend,"Kubernetes, Git, JavaScript",Fresh / 0-1 year,"BDT 50,000/month",https://www.linkedin.com/jobs/view/5000000007
328,Computer Vision Engineer,Computer Vision Engineer - Flutter Developer,"TensorFlow, CI/CD, C++, TypeScript, C#, pandas",3 year(s),"BDT 50,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000008
329,Data Scientist,Junior Data Scientist,"TypeScript, TensorFlow, Express.js, Vue.js, Security, CSS",2 year(s),"$85,573 per year",https://www.linkedin.com/jobs/view/5000000009
330,AI Researcher,Lead AI Researcher,"TensorFlow, REST API, Python, Jenkins",3 year(s),"BDT 40,000/month",https://www.linkedin.com/jobs/view/5000000010
331,Computer Vision Engineer,Computer Vision Engineer (Remote),"iOS, Hadoop, Ansible, NLP",6 year(s),"৳15,000 - ৳25,000 per month",https://www.linkedin.com/jobs/view/5000000011
332,BI Developer,BI Developer - Dhaka Based,"Spark, pandas, Jenkins, iOS, Redis, GCP",2 year(s),"BDT 10,000/month",https://www.linkedin.com/jobs/view/5000000012
333,Database Administrator,Intern Database Administrator,"PostgreSQL, NumPy, Vue.js",1 year(s),"$58,209-$101,245 USD (Annual)",https://www.linkedin.com/jobs/view/5000000013
334,Backend Developer,Intern Backend Developer,"TypeScript, PyTorch, Kubernetes, Linux",1 year(s),"BDT 20,000/month",https://www.linkedin.com/jobs/view/5000000014
335,Security Engineer,Security Engineer - Bangladesh Based,"C++, Jenkins, iOS, Security",3 year(s),"BDT 15,000 - 15,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000015
336,Full Stack Developer,Full Stack Developer - Java Developer,"Laravel, Java, Hadoop, TensorFlow, Python, PostgreSQL",9 year(s),"Tk. 50,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000016
337,IT Support,IT Support - Data,"Laravel, CSS, Selenium",3 year(s),"$88,123 per year",https://www.linkedin.com/jobs/view/5000000017
338,Mobile Developer,Mobile Developer (Remote),"GCP, Angular, Hadoop",2 year(s),"BDT 40,000 - 60,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000018
339,Software Developer,Software Developer (Remote),"AWS, TypeScript, NLP, CSS",4 year(s),"$85,590-$119,741 per year",https://www.linkedin.com/jobs/view/5000000019
340,Teaching,Security Teaching,"Spring, Tableau, React, MySQL, JavaScript",2 year(s),"$56,923-$101,613 USD (Annual)",https://www.linkedin.com/jobs/view/5000000020
341,DevOps Engineer,DevOps Engineer (Remote),"CI/CD, Tableau, TensorFlow, C++",3 year(s),"$86,884-$130,831 USD (Annual)",https://www.linkedin.com/jobs/view/5000000021
342,Database Administrator,Database Administrator - Dhaka Based,"CSS, HTML, Python, Flask",5 year(s),"Tk. 50,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000022
343,Security Engineer,Contract Security Engineer,"Python, AWS, Kotlin, Bash",3 year(s),"BDT 50,000/month",https://www.linkedin.com/jobs/view/5000000023
344,QA Engineer,QA Engineer - Chittagong Based,"CSS, .NET, C#, Git, Flask",11 year(s),"BDT 70,000/month",https://www.linkedin.com/jobs/view/5000000024
345,NLP Engineer,Lead NLP Engineer,"iOS, Selenium, PHP",1 year(s),"$82,166-$132,500 per year",https://www.linkedin.com/jobs/view/4321597171
346,Software Developer,Senior Software Developer,"Node.js, C++, Linux, CSS, TypeScript, Hadoop",3 year(s),"$75,164 per year",https://www.linkedin.com/jobs/view/5000000026
347,Software Developer,Software Developer - Dhaka Based,"PHP, Kotlin, CSS",1 year(s),"৳40,000 - ৳40,000 per month",https://www.linkedin.com/jobs/view/5000000027
348,Data Analyst,Data Analyst (Remote),"TensorFlow, Redis, Linux, Security",11 year(s),"BDT 15,000/month",https://www.linkedin.com/jobs/view/5000000028
349,Mobile Developer,Junior Mobile Developer,"Spring, Kotlin, Kubernetes, Git, Terraform, PyTorch",3 year(s),"BDT 25,000 - 45,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000029
350,Software Engineer,Intern Software Engineer,"GCP, Kotlin, Linux, Power BI, Tableau",1 year(s),"৳40,000 - ৳70,000 per month",https://www.linkedin.com/jobs/view/5000000030
351,BI Developer,BI Developer - Mobile,"GCP, Python, Git, PHP, .NET",3 year(s),"$80,561 per year",https://www.linkedin.com/jobs/view/5000000031
352,Teaching,Lead Teaching,"Power BI, Java, Swift",6 year(s),"Tk. 20,000 - 20,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000032
353,IT Support,Senior IT Support,"Computer Vision, JavaScript, CI/CD",1 year(s),"BDT 15,000 - 15,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000033
354,IT Support,IT Support (Remote),"Golang, Angular, PHP, Computer Vision, GCP",9 year(s),"$44,818 per year",https://www.linkedin.com/jobs/view/5000000034
355,Data Scientist,Data Scientist - iOS Developer,"Express.js, Scikit-learn, iOS, .NET, HTML",2 year(s),"Tk. 20,000 - 20,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000035
356,Product Engineer,Security Product Engineer,"PostgreSQL, REST API, Spring, Power BI",4 year(s),"৳30,000 - ৳30,000 per month",https://www.linkedin.com/jobs/view/4315907244
357,Database Administrator,Senior Database Administrator,"Computer Vision, PHP, Ansible, SQL, TensorFlow, Selenium",3 year(s),"$77,598-$88,263 per year",https://www.linkedin.com/jobs/view/5000000037
358,NLP Engineer,Contract NLP Engineer,"pandas, Linux, Ansible, Kotlin, Angular, PyTorch",1 year(s),"BDT 10,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4321597171
359,Frontend Developer,Frontend Developer - Frontend,"Android, Scikit-learn, Ansible, Jenkins",3 year(s),"$70,393 per year",https://www.linkedin.com/jobs/view/4283320265
360,Teaching,Teaching - React Developer,"Hadoop, Flask, PostgreSQL, TensorFlow, NLP",3 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/5000000040
361,Software Developer,Software Developer - Europe Based,"Kubernetes, C#, CSS",3 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/5000000041
362,Teaching,Security Teaching,"MySQL, Spark, Swift, TensorFlow, JavaScript",Fresh / 0-1 year,"৳90,000 - ৳90,000 per month",https://www.linkedin.com/jobs/view/5000000042
363,Product Engineer,Product Engineer - Bangladesh Based,"Vue.js, Azure, C#",1 year(s),"BDT 40,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000043
364,Cloud Engineer,Contract Cloud Engineer,"pandas, Docker, GCP, PyTorch",3 year(s),"BDT 15,000 - 15,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000044
365,IT Support,Intern IT Support,"Scikit-learn, MongoDB, Jenkins, Express.js, Power BI, Ansible",1 year(s),"Tk. 50,000 - 70,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000045
366,Product Engineer,Junior Product Engineer,"Security, Android, Kotlin, TypeScript",Fresh / 0-1 year,"BDT 10,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4315907244
367,Machine Learning Engineer,AI Machine Learning Engineer,"Kubernetes, PyTorch, CI/CD, Spring",3 year(s),"$66,513-$141,972 USD (Annual)",https://www.linkedin.com/jobs/view/5000000047
368,Software Engineer,Software Engineer - USA Based,"NLP, Jenkins, TypeScript, Java, Linux",6 year(s),"Tk. 15,000 - 45,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000048
369,Full Stack Developer,Full Stack Developer - Bangladesh Based,"Vue.js, SQL, JavaScript, REST API, CSS",3 year(s),"Tk. 40,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000049
370,Research Assistant,Research Assistant - Bangladesh Based,"REST API, Spark, JavaScript, TypeScript, Kubernetes",3 year(s),"$64,224-$124,832 per year",https://www.linkedin.com/jobs/view/5000000050
371,QA Engineer,Lead QA Engineer,"Computer Vision, GCP, Linux, PyTorch, PostgreSQL, Spring",6 year(s),"$67,144 per year",https://www.linkedin.com/jobs/view/5000000051
372,DevOps Engineer,DevOps Engineer (Remote),"Vue.js, Python, GCP, HTML, MySQL, Security",2 year(s),"$89,495-$117,442 USD (Annual)",https://www.linkedin.com/jobs/view/5000000052
373,AI Researcher,Intern AI Researcher,"NumPy, Git, Computer Vision, Scikit-learn, Golang",Fresh / 0-1 year,"৳40,000 - ৳60,000 per month",https://www.linkedin.com/jobs/view/5000000053
374,IT Support,Senior IT Support,"NLP, MySQL, NumPy",6 year(s),"৳50,000 - ৳80,000 per month",https://www.linkedin.com/jobs/view/5000000054
375,Computer Vision Engineer,Computer Vision Engineer - Frontend,"Selenium, JavaScript, Java, SQL",3 year(s),"BDT 20,000/month",https://www.linkedin.com/jobs/view/5000000055
376,Software Developer,Contract Software Developer,"Tableau, HTML, C#, NLP",Fresh / 0-1 year,"$75,632-$127,916 per year",https://www.linkedin.com/jobs/view/5000000056
377,Data Analyst,Senior Data Analyst,"Hadoop, PostgreSQL, Kubernetes, Tableau",3 year(s),"$50,684-$74,108 USD (Annual)",https://www.linkedin.com/jobs/view/4332405524
378,DevOps Engineer,DevOps Engineer - Worldwide Based,"Node.js, Bash, Express.js",9 year(s),"৳50,000 - ৳60,000 per month",https://www.linkedin.com/jobs/view/5000000058
379,Machine Learning Engineer,Lead Machine Learning Engineer,"Ansible, Kotlin, Java, Golang",1 year(s),"Tk. 15,000 - 45,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000059
380,IT Support,Junior IT Support,"pandas, Node.js, Laravel",Fresh / 0-1 year,"Tk. 10,000 - 10,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000060
381,Machine Learning Engineer,Junior Machine Learning Engineer,"Selenium, Docker, Spring, Ansible, Spark",1 year(s),"Tk. 15,000 - 35,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000061
382,Full Stack Developer,Lead Full Stack Developer,"Kubernetes, Kotlin, Selenium, C#, PyTorch, Swift",7 year(s),"$64,878-$130,464 USD (Annual)",https://www.linkedin.com/jobs/view/5000000062
383,Data Analyst,Data Analyst (Remote),"NumPy, NLP, Kubernetes, Android",3 year(s),"Tk. 50,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000063
384,BI Developer,Contract BI Developer,"PostgreSQL, Ansible, TensorFlow, .NET, React, pandas",8 year(s),"৳90,000 - ৳90,000 per month",https://www.linkedin.com/jobs/view/5000000064
385,Data Analyst,Intern Data Analyst,"Computer Vision, Spring, React",1 year(s),"BDT 70,000 - 70,000 (Monthly)",https://www.linkedin.com/jobs/view/4332405524
386,Backend Developer,Backend Developer - Europe Based,"NumPy, Spark, MySQL, Java, Tableau, Scikit-learn",2 year(s),"Tk. 30,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000066
387,Web Developer,Web Developer - React Developer,"Java, MongoDB, GraphQL, Angular, NLP",Fresh / 0-1 year,"$72,256-$143,338 USD (Annual)",https://www.linkedin.com/jobs/view/5000000067
388,Security Engineer,Contract Security Engineer,"NLP, Flask, TensorFlow",6 year(s),"৳50,000 - ৳80,000 per month",https://www.linkedin.com/jobs/view/5000000068
389,Machine Learning Engineer,Machine Learning Engineer - Remote Based,"Express.js, MongoDB, Android, AWS, NumPy, NLP",3 year(s),"BDT 90,000 - 120,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000069
390,Backend Developer,Backend Developer - Security,"JavaScript, Django, Selenium, Flask, Express.js",5 year(s),"$78,270 per year",https://www.linkedin.com/jobs/view/5000000070
391,IT Support,Platform IT Support,"TypeScript, PHP, CSS",1 year(s),"$44,292-$94,257 USD (Annual)",https://www.linkedin.com/jobs/view/5000000071
392,AI Researcher,AI Researcher - React Developer,"MySQL, Django, Kotlin, pandas, Selenium, Ansible",9 year(s),"৳50,000 - ৳50,000 per month",https://www.linkedin.com/jobs/view/5000000072
393,Mobile Developer,Intern Mobile Developer,"Kubernetes, TensorFlow, .NET, NumPy, HTML",3 year(s),"$75,116-$113,175 per year",https://www.linkedin.com/jobs/view/5000000073
394,Database Administrator,Intern Database Administrator,"Selenium, Redis, MySQL",Fresh / 0-1 year,"$71,147-$137,128 USD (Annual)",https://www.linkedin.com/jobs/view/5000000074
395,Cloud Engineer,Lead Cloud Engineer,"Azure, Laravel, GraphQL, Spark, Scikit-learn, TypeScript",4 year(s),"$81,146-$158,808 USD (Annual)",https://www.linkedin.com/jobs/view/5000000075
396,Research Assistant,Intern Research Assistant,"Hadoop, .NET, Kubernetes",1 year(s),"৳40,000 - ৳70,000 per month",https://www.linkedin.com/jobs/view/5000000076
397,IT Support,IT Support - Data,"Azure, PHP, Node.js, Java",1 year(s),"$60,351-$131,189 per year",https://www.linkedin.com/jobs/view/5000000077
398,Teaching,Teaching - Backend,"Django, Laravel, Power BI, Linux",3 year(s),"Tk. 10,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000078
399,BI Developer,Data BI Developer,"Azure, Security, iOS",4 year(s),"৳15,000 - ৳35,000 per month",https://www.linkedin.com/jobs/view/5000000079
400,Mobile Developer,Mobile Developer - Android Developer,"Java, Angular, C#, C++",9 year(s),"BDT 10,000/month",https://www.linkedin.com/jobs/view/5000000080
401,Security Engineer,AI Security Engineer,"Android, Kubernetes, Bash, MongoDB, Django, CSS",10 year(s),"BDT 10,000/month",https://www.linkedin.com/jobs/view/5000000081
402,Teaching,Teaching - Bangladesh Based,"Python, Azure, Laravel, MongoDB, Vue.js, NLP",1 year(s),"$50,500 per year",https://www.linkedin.com/jobs/view/5000000082
403,Software Developer,Software Developer - India Based,"Security, Redis, Android, TensorFlow, Angular, Spring",3 year(s),"Tk. 50,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000083
404,Teaching,Teaching - Python Developer,"HTML, MongoDB, SQL, Jenkins",Fresh / 0-1 year,"BDT 20,000/month",https://www.linkedin.com/jobs/view/5000000084
405,Backend Developer,Lead Backend Developer,"GCP, Kubernetes, C#",2 year(s),"$77,381-$116,804 USD (Annual)",https://www.linkedin.com/jobs/view/5000000085
406,Web Developer,Junior Web Developer,"Azure, GraphQL, TensorFlow",4 year(s),"Tk. 50,000 - 60,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000086
407,Product Engineer,Lead Product Engineer,"Terraform, Bash, Power BI, MySQL",2 year(s),"BDT 70,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/4317659274
408,IT Support,Senior IT Support,"Laravel, PHP, GraphQL, PyTorch, Kubernetes",6 year(s),"BDT 90,000/month",https://www.linkedin.com/jobs/view/5000000088
409,Computer Vision Engineer,Computer Vision Engineer (Remote),"Git, JavaScript, Redis",9 year(s),"$79,739-$95,704 USD (Annual)",https://www.linkedin.com/jobs/view/5000000089
410,Full Stack Developer,Contract Full Stack Developer,"Selenium, C#, Laravel",2 year(s),"$70,676-$97,966 USD (Annual)",https://www.linkedin.com/jobs/view/4337410751
411,Data Scientist,Senior Data Scientist,"NumPy, Terraform, Security, MySQL",6 year(s),"BDT 40,000/month",https://www.linkedin.com/jobs/view/4338156913
412,NLP Engineer,Senior NLP Engineer,"Java, JavaScript, Golang, C#",6 year(s),"Tk. 90,000 - 120,000 (Monthly)",https://www.linkedin.com/jobs/view/4321597171
413,QA Engineer,QA Engineer - India Based,"Ansible, iOS, Terraform",2 year(s),"BDT 40,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000093
414,Database Administrator,Database Administrator (Remote),"Tableau, NumPy, Swift, Angular",6 year(s),"BDT 15,000/month",https://www.linkedin.com/jobs/view/5000000094
415,Data Scientist,Data Scientist - India Based,"HTML, MySQL, REST API, TypeScript, Python, Redis",11 year(s),"BDT 90,000 - 110,000 (Monthly)",https://www.linkedin.com/jobs/view/4338156913
416,Mobile Developer,Mobile Developer (Remote),"Laravel, C#, PHP, Tableau, Azure, Vue.js",Fresh / 0-1 year,"BDT 70,000/month",https://www.linkedin.com/jobs/view/5000000096
417,Security Engineer,Cloud Security Engineer,"Security, Kubernetes, Spark",2 year(s),"$71,223 per year",https://www.linkedin.com/jobs/view/4315216564
418,IT Support,IT Support - Python Developer,"Flask, Spark, Redis",11 year(s),"Tk. 20,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000098
419,Web Developer,Junior Web Developer,"Security, PHP, Hadoop, TensorFlow, PostgreSQL",3 year(s),"$73,647 per year",https://www.linkedin.com/jobs/view/5000000099
420,Product Engineer,Intern Product Engineer,"Tableau, Spark, Django",3 year(s),"Tk. 20,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4321694100
421,Mobile Developer,Security Mobile Developer,"C++, C#, Vue.js, Computer Vision",8 year(s),"$46,968 per year",https://www.linkedin.com/jobs/view/5000000101
422,Data Analyst,Data Analyst - India Based,"Terraform, TypeScript, Computer Vision, REST API, iOS, NumPy",3 year(s),"Tk. 70,000 - 90,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000102
423,DevOps Engineer,Senior DevOps Engineer,"pandas, CSS, Java, PHP",3 year(s),"$75,296-$110,319 USD (Annual)",https://www.linkedin.com/jobs/view/4321162807
424,Security Engineer,Junior Security Engineer,"Computer Vision, Kotlin, PyTorch, NumPy",2 year(s),"৳30,000 - ৳50,000 per month",https://www.linkedin.com/jobs/view/5000000104
425,Data Analyst,Intern Data Analyst,"Flask, NumPy, Azure, Spark, Selenium",6 year(s),"৳100,000 - ৳600,000 per month",https://www.linkedin.com/jobs/view/5000000105
426,Backend Developer,Backend Developer - Chittagong Based,"PyTorch, Kotlin, TensorFlow, Django, Spring",1 year(s),"BDT 90,000 - 100,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000106
427,BI Developer,BI Developer - Python Developer,"Security, Swift, CSS, Computer Vision, Kubernetes, Power BI",1 year(s),"৳40,000 - ৳40,000 per month",https://www.linkedin.com/jobs/view/5000000107
428,Machine Learning Engineer,Machine Learning Engineer - Worldwide Based,"PHP, C++, Git, JavaScript, Django",2 year(s),"Tk. 40,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000108
429,Data Analyst,Data Analyst - Bangladesh Based,"Redis, Power BI, Docker, Tableau, Flask",5 year(s),"$85,228 per year",https://www.linkedin.com/jobs/view/5000000109
430,Product Engineer,Intern Product Engineer,"Bash, Git, Flask",4 year(s),"BDT 30,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000110
431,Cloud Engineer,Security Cloud Engineer,"Bash, Express.js, Node.js, Ansible, .NET",2 year(s),"$40,431-$82,585 per year",https://www.linkedin.com/jobs/view/5000000111
432,Web Developer,Data Web Developer,"Java, NLP, Hadoop, GCP",4 year(s),"$67,093-$130,741 per year",https://www.linkedin.com/jobs/view/5000000112
433,Software Engineer,Contract Software Engineer,"Vue.js, Redis, SQL",1 year(s),"BDT 70,000 - 70,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000113
434,IT Support,Cloud IT Support,"Bash, MySQL, Hadoop",4 year(s),"$69,241 per year",https://www.linkedin.com/jobs/view/5000000114
435,Computer Vision Engineer,Computer Vision Engineer - Platform,"Flask, CI/CD, Redis",3 year(s),"$48,257 per year",https://www.linkedin.com/jobs/view/5000000115
436,Cloud Engineer,Junior Cloud Engineer,"Django, Power BI, CI/CD",3 year(s),"$59,919 per year",https://www.linkedin.com/jobs/view/5000000116
437,QA Engineer,Senior QA Engineer,"PyTorch, MongoDB, Jenkins",6 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/5000000117
438,Computer Vision Engineer,Cloud Computer Vision Engineer,"Bash, Tableau, Kubernetes, Scikit-learn",Fresh / 0-1 year,"$67,004-$87,744 USD (Annual)",https://www.linkedin.com/jobs/view/5000000118
439,Security Engineer,AI Security Engineer,"Selenium, Git, Hadoop, Tableau, Azure, Laravel",6 year(s),"$85,155 per year",https://www.linkedin.com/jobs/view/5000000119
440,Cloud Engineer,Junior Cloud Engineer,"Kotlin, C++, Scikit-learn",3 year(s),"৳50,000 - ৳50,000 per month",https://www.linkedin.com/jobs/view/5000000120
441,Database Administrator,Database Administrator (Remote),"MongoDB, Kubernetes, PostgreSQL, NumPy, Django",4 year(s),"$67,640-$84,016 per year",https://www.linkedin.com/jobs/view/5000000121
442,NLP Engineer,Contract NLP Engineer,"React, Terraform, Flask, GCP, pandas",6 year(s),"$64,727 per year",https://www.linkedin.com/jobs/view/5000000122
443,Cloud Engineer,Junior Cloud Engineer,"Vue.js, Linux, GraphQL, TypeScript, GCP",2 year(s),"BDT 10,000/month",https://www.linkedin.com/jobs/view/5000000123
444,Database Administrator,Lead Database Administrator,"Jenkins, Hadoop, .NET",3 year(s),"BDT 20,000/month",https://www.linkedin.com/jobs/view/5000000124
445,Web Developer,Intern Web Developer,"NumPy, Terraform, Django",1 year(s),"BDT 50,000/month",https://www.linkedin.com/jobs/view/5000000125
446,AI Researcher,Junior AI Researcher,"Tableau, Vue.js, Java, MongoDB, GCP",3 year(s),"Tk. 50,000 - 60,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000126
447,Data Analyst,Platform Data Analyst,"AWS, Bash, Node.js, JavaScript, .NET",3 year(s),"Tk. 90,000 - 120,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000127
448,Product Engineer,Product Engineer - Chittagong Based,"GCP, HTML, Golang",6 year(s),"BDT 15,000 - 25,000 (Monthly)",https://www.linkedin.com/jobs/view/4321694100
449,Product Engineer,Frontend Product Engineer,"Power BI, PHP, CI/CD, TensorFlow",10 year(s),"BDT 10,000/month",https://www.linkedin.com/jobs/view/5000000129
450,Security Engineer,Data Security Engineer,"Selenium, Security, Spark, PostgreSQL",Fresh / 0-1 year,"$76,902-$96,068 per year",https://www.linkedin.com/jobs/view/5000000130
451,Data Scientist,Lead Data Scientist,"Swift, Redis, HTML, Laravel, NLP",5 year(s),"BDT 50,000 - 70,000 (Monthly)",https://www.linkedin.com/jobs/view/4332405524
452,Software Engineer,Senior Software Engineer,"Swift, C#, GCP",6 year(s),"$75,266 per year",https://www.linkedin.com/jobs/view/5000000132
453,Research Assistant,Research Assistant - Node.js Developer,"AWS, C#, Security, Tableau, Linux",3 year(s),"৳50,000 - ৳100,000 per month",https://www.linkedin.com/jobs/view/5000000133
454,Backend Developer,Intern Backend Developer,"Linux, Android, Golang, NumPy, Kubernetes",Fresh / 0-1 year,"BDT 30,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000134
455,Database Administrator,Contract Database Administrator,"TypeScript, Computer Vision, Jenkins, Swift",4 year(s),"BDT 20,000 - 20,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000135
456,Cloud Engineer,Contract Cloud Engineer,"Swift, Git, Scikit-learn, Python, TensorFlow",3 year(s),"$61,168-$127,862 per year",https://www.linkedin.com/jobs/view/5000000136
457,Security Engineer,Senior Security Engineer,"GCP, CI/CD, PyTorch, SQL, Python",6 year(s),"৳100,000 - ৳200,000 per month",https://www.linkedin.com/jobs/view/5000000137
458,Machine Learning Engineer,Machine Learning Engineer (Remote),"pandas, TensorFlow, Linux",Fresh / 0-1 year,"$61,908-$104,729 USD (Annual)",https://www.linkedin.com/jobs/view/5000000138
459,Mobile Developer,Mobile Developer (Remote),"NLP, Angular, HTML, PyTorch, Selenium, Node.js",Fresh / 0-1 year,"BDT 10,000/month",https://www.linkedin.com/jobs/view/5000000139
460,Product Engineer,Product Engineer (Remote),"Swift, JavaScript, Git",Fresh / 0-1 year,"$66,324 per year",https://www.linkedin.com/jobs/view/4321694100
461,Product Engineer,Intern Product Engineer,"Redis, CSS, Swift",0.6 year(s),"Tk. 30,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4315212392
462,Database Administrator,AI Database Administrator,"pandas, iOS, GraphQL, PyTorch, C#, PHP",1 year(s),"BDT 40,000/month",https://www.linkedin.com/jobs/view/5000000142
463,Data Scientist,Data Scientist - Security,"Python, Hadoop, Selenium, TypeScript, Swift",1 year(s),"BDT 10,000/month",https://www.linkedin.com/jobs/view/5000000143
464,Web Developer,Web Developer - India Based,"Ansible, Selenium, Jenkins, Redis, GraphQL",2 year(s),"৳90,000 - ৳90,000 per month",https://www.linkedin.com/jobs/view/5000000144
465,Computer Vision Engineer,Lead Computer Vision Engineer,"Computer Vision, Tableau, Bash, Redis, Linux, Terraform",2 year(s),"Tk. 10,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000145
466,AI Researcher,AI Researcher - USA Based,"HTML, Selenium, NLP, Kubernetes",Fresh / 0-1 year,"BDT 30,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000146
467,Mobile Developer,Lead Mobile Developer,"C#, Security, Laravel",6 year(s),"$48,994 per year",https://www.linkedin.com/jobs/view/5000000147
468,Full Stack Developer,Security Full Stack Developer,"Hadoop, Linux, GraphQL, TensorFlow",6 year(s),"BDT 20,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000148
469,Mobile Developer,Intern Mobile Developer,"Ansible, CI/CD, PostgreSQL, Power BI",1 year(s),"৳40,000 - ৳50,000 per month",https://www.linkedin.com/jobs/view/5000000149
470,Security Engineer,Contract Security Engineer,"NumPy, Hadoop, Scikit-learn, C#, SQL",6 year(s),"$72,426-$144,522 per year",https://www.linkedin.com/jobs/view/5000000150
471,DevOps Engineer,Lead DevOps Engineer,"C++, MongoDB, TensorFlow, AWS, Jenkins, Spring",8 year(s),"Tk. 15,000 - 25,000 (Monthly)",https://www.linkedin.com/jobs/view/5000000151
472,Frontend Developer,Frontend Developer - iOS Developer,"Scikit-learn, TensorFlow, GCP, Kubernetes, Linux, NumPy",2 year(s),"BDT 90,000/month",https://www.linkedin.com/jobs/view/5000000152
